 region_name, power_type, device_location, is_hub, covered_scope, site_priority, site_stage, access_issue, create_time, minutes_on_the_way, oil_machine_type, collocation_id, is_boundary, updated_by, address, area_id, site_name, air_conditioner_no, fm_office, site_id, lessor_name, longitude, integration_date, phase, site_addr, morphology, location_id, altitude, has_oil_machine, cluster_id, customer, latitude, lessor_phone, site_maintainer, is_vip, update_time, time_zone, genset_number, functional_location, dangerous_site, owner, oil_machine_number, latitude_number, access_type, created_by, site_type, contractor_id, hang_site_number, collocation_name, pln_id, longitude_number, has_room, fuel_tank_no, site_state, radius, life_cycle, description, projectid, acceptance_date, parent_site, transport_type, lessor_address, project_name, is_hw_operate, id, keycode, actual_model_id, active, change_time, vendor, fuel_tank_capacity, battery_bank, oil_machine_capacity, ups_qty, ups_capacity, site_infrastructure_type, owner_name, battery_type, owner_phone_number, site_admission_type, ups_brand, has_pln, has_ups, has_battery, pln_capacity, battery_capacity
 1ac88c88-0300-11f1-bdcd-0255ac121084, , , , , , , , , , f0a18f4d-6bd2-11f1-8cac-0255ac120ff9, , , , , , CMI_MSC_GOMBELI_M3, , 2ca4e7d7-17b5-11f1-a4c0-0255ac12094c, 33SMG_0277, ,	 110.42329, , , , , , , No, , , -7.04518, , , , , , , , , , , -7.04518, ce1d6700-f34d-11f0-80d8-0255ac12193b, , , , , , ,	 110.42329, , , , , , , , , , , , , , 01eb5ed1-768b-11f1-ba00-0255ac1205bc, 33SMG_0277, , true,	 1785731353041, b48c3ea5-fb2f-11f0-be90-0255ac120057, , , , , , , CMI, , , , , No, No, No, , 
 1ac88c88-0300-11f1-bdcd-0255ac121084, , , , , , , , , , f0a18f4d-6bd2-11f1-8cac-0255ac120ff9, , , , , , CMI_KLEPU, , 2ca4e7d7-17b5-11f1-a4c0-0255ac12094c, 33SMG_0150, ,	 110.424992, , , , , , , No, , , -7.180802, , , , , , , , , , , -7.180802, ce1d6700-f34d-11f0-80d8-0255ac12193b, , , , , , ,	 110.424992, , , , , , , , , , , , , , 01eb5ed6-768b-11f1-ba00-0255ac1205bc, 33SMG_0150, , true,	 1785731353038, b48c3ea5-fb2f-11f0-be90-0255ac120057, , , , , , , CMI, , , , , No, No, No, , 
 1ac88c88-0300-11f1-bdcd-0255ac121084, , , , , , , , , , f0a18f4d-6bd2-11f1-8cac-0255ac120ff9, , , , , , CMI_PUDAKPYNGSLTN, , 2ca4e7d7-17b5-11f1-a4c0-0255ac12094c, 33SMG_0147, ,	 110.407361, , , , , , , No, , , -7.120583, , , , , , , , , , , -7.120583, ce1d6700-f34d-11f0-80d8-0255ac12193b, , , , , , ,	 110.407361, , , , , , , , , , , , , , 01ebacfa-768b-11f1-ba00-0255ac1205bc, 33SMG_0147, , true,	 1785731353037, b48c3ea5-fb2f-11f0-be90-0255ac120057, , , , , , , CMI, , , , , No, No, No, , 
 1ac88c88-0300-11f1-bdcd-0255ac121084, , , , , , , , , , f0a18f4d-6bd2-11f1-8cac-0255ac120ff9, , , , , , CMI_TINGKIR, , 2ca4e7d7-17b5-11f1-a4c0-0255ac12094c, 33SLT_0014, ,	 110.51574, , , , , , , No, , , -7.36165, , , , , , , , , , , -7.36165, ce1d6700-f34d-11f0-80d8-0255ac12193b, , , , , , ,	 110.51574, , , , , , , , , , , , , , 01ec7064-768b-11f1-ba00-0255ac1205bc, 33SLT_0014, , true,	 1785731353045, b48c3ea5-fb2f-11f0-be90-0255ac120057, , , , , , , CMI, , , , , No, No, No, , 
 1ac88c88-0300-11f1-bdcd-0255ac121084, , , , , , f343d1fb-e165-11f0-90da-0255ac121938, , , , f0a18f4d-6bd2-11f1-8cac-0255ac120ff9, , , , , 24eef23d-5b4b-11f1-8fdf-0255ac12109b, CMI_KEBONROJO, , 9120c34a-1797-11f1-be90-0255ac120057, 33DMK_0053, ,	 110.50643, , , , , , , No, , , -7.05313, , , , , , , , , , , -7.05313, ce1d6700-f34d-11f0-80d8-0255ac12193b, , , , , , ,	 110.50643, , , , , , 7, , , , , , , , 01ec7066-768b-11f1-ba00-0255ac1205bc, 33DMK_0053, , true,	 1785817519159, e70a8cd9-e165-11f0-a9fb-0255ac121097, , , , , , , CMI, , , , , No, No, No, , 
 1ac88c88-0300-11f1-bdcd-0255ac121084, , , , , , f343d1fb-e165-11f0-90da-0255ac121938, , , , f0a18f4d-6bd2-11f1-8cac-0255ac120ff9, , , , , 24eef23d-5b4b-11f1-8fdf-0255ac12109b, CMI_PUCANG_GADING, , 9120c34a-1797-11f1-be90-0255ac120057, 33DMK_0039, ,	 110.49283, , , , , , , No, , , -7.03831, , , , , , , , , , , -7.03831, ce1d6700-f34d-11f0-80d8-0255ac12193b, , , , , , ,	 110.49283, , , , , , 42, , , , , , , , 01ec9777-768b-11f1-ba00-0255ac1205bc, 33DMK_0039, , true,	 1785817519420, e70a8cd9-e165-11f0-a9fb-0255ac121097, , , , , , , CMI, , , , , No, No, No, , 
 1ac88c88-0300-11f1-bdcd-0255ac121084, , , , , , , , , , f0a18f4d-6bd2-11f1-8cac-0255ac120ff9, , , , , , CMI_WONOSALAM, , 2ca4e7d7-17b5-11f1-a4c0-0255ac12094c, 33DMK_0077, ,	 110.65758, , , , , , , No, , , -6.91198, , , , , , , , , , , -6.91198, ce1d6700-f34d-11f0-80d8-0255ac12193b, , , , , , ,	 110.65758, , , , , , , , , , , , , , 01ed33cd-768b-11f1-ba00-0255ac1205bc, 33DMK_0077, , true,	 1785731353068, b48c3ea5-fb2f-11f0-be90-0255ac120057, , , , , , , CMI, , , , , No, No, No, , 
 1ac88c88-0300-11f1-bdcd-0255ac121084, , , , , , , , , , f0a18f4d-6bd2-11f1-8cac-0255ac120ff9, , , , , , CMI_KLATEN_BRT, , 2ca4e7d7-17b5-11f1-a4c0-0255ac12094c, 33KLN_0064, ,	 110.59718, , , , , , , No, , , -7.70134, , , , , , , , , , , -7.70134, ce1d6700-f34d-11f0-80d8-0255ac12193b, , , , , , ,	 110.59718, , , , , , , , , , , , , , 01ed5adf-768b-11f1-ba00-0255ac1205bc, 33KLN_0064, , true,	 1785731353071, b48c3ea5-fb2f-11f0-be90-0255ac120057, , , , , , , CMI, , , , , No, No, No, , 
 1ac88c88-0300-11f1-bdcd-0255ac121084, , , , , , , , , , f0a18f4d-6bd2-11f1-8cac-0255ac120ff9, , , , , , CMI_SALATIGA_KOTA_TMR, , 2ca4e7d7-17b5-11f1-a4c0-0255ac12094c, 33SLT_0001, ,	 110.51173, , , , , , , No, , , -7.3283, , , , , , , , , , , -7.3283, ce1d6700-f34d-11f0-80d8-0255ac12193b, , , , , , ,	 110.51173, , , , , , , , , , , , , , 01ed5ae1-768b-11f1-ba00-0255ac1205bc, 33SLT_0001, , true,	 1785731353067, b48c3ea5-fb2f-11f0-be90-0255ac120057, , , , , , , CMI, , , , , No, No, No, , 
 1ac88c88-0300-11f1-bdcd-0255ac121084, , , , , , , , , , f0a18f4d-6bd2-11f1-8cac-0255ac120ff9, , , , , , CMI_KARANG_TENGAH, , 2ca4e7d7-17b5-11f1-a4c0-0255ac12094c, 33DMK_0076, ,	 110.59957, , , , , , , No, , , -6.91902, , , , , , , , , , , -6.91902, ce1d6700-f34d-11f0-80d8-0255ac12193b, , , , , , ,	 110.59957, , , , , , , , , , , , , , 01ee4467-768b-11f1-ba00-0255ac1205bc, 33DMK_0076, , true,	 1785731353092, b48c3ea5-fb2f-11f0-be90-0255ac120057, , , , , , , CMI, , , , , No, No, No, , 
 1ac88c88-0300-11f1-bdcd-0255ac121084, , , , , , , , , , f0a18f4d-6bd2-11f1-8cac-0255ac120ff9, , , , , , CMI_JUWIRING, , 2ca4e7d7-17b5-11f1-a4c0-0255ac12094c, 33KLN_0066, ,	 110.72459, , , , , , , No, , , -7.65328, , , , , , , , , , , -7.65328, ce1d6700-f34d-11f0-80d8-0255ac12193b, , , , , , ,	 110.72459, , , , , , , , , , , , , , 01ee9291-768b-11f1-ba00-0255ac1205bc, 33KLN_0066, , true,	 1785731353090, b48c3ea5-fb2f-11f0-be90-0255ac120057, , , , , , , CMI, , , , , No, No, No, , 
 1ac88c88-0300-11f1-bdcd-0255ac121084, , , , , , , , , , f0a18f4d-6bd2-11f1-8cac-0255ac120ff9, , , , , , CMI_WIROGUNAN, , 2ca4e7d7-17b5-11f1-a4c0-0255ac12094c, 33SKH_0096, ,	 110.72934, , , , , , , No, , , -7.54048, , , , , , , , , , , -7.54048, ce1d6700-f34d-11f0-80d8-0255ac12193b, , , , , , ,	 110.72934, , , , , , , , , , , , , , 01eeb9a6-768b-11f1-ba00-0255ac1205bc, 33SKH_0096, , true,	 1785731353094, b48c3ea5-fb2f-11f0-be90-0255ac120057, , , , , , , CMI, , , , , No, No, No, , 
 1ac88c88-0300-11f1-bdcd-0255ac121084, , , , , , , , , , f0a18f4d-6bd2-11f1-8cac-0255ac120ff9, , , , , , CMI_JEPARA, , 2ca4e7d7-17b5-11f1-a4c0-0255ac12094c, 33JPA_0010, ,	 110.68716, , , , , , , No, , , -6.61618, , , , , , , , , , , -6.61618, ce1d6700-f34d-11f0-80d8-0255ac12193b, , , , , , ,	 110.68716, , , , , , , , , , , , , , 01eee0bc-768b-11f1-ba00-0255ac1205bc, 33JPA_0010, , true,	 1785731353099, b48c3ea5-fb2f-11f0-be90-0255ac120057, , , , , , , CMI, , , , , No, No, No, , 
